raw_tag,canonical_name,statement,sector
RevenueFromOperations,Revenue,PnL,General
Income,TotalIncome,PnL,General
InterestEarned,Revenue,PnL,Financial
InterestExpended,InterestExpense,PnL,Financial
Deposits,Deposits,BS,Financial
Advances,Advances,BS,Financial
OperatingProfitBeforeProvisionAndContingencies,OperatingProfit,PnL,Financial
FinanceCosts,InterestExpense,PnL,General
ProfitBeforeTax,ProfitBeforeTax,PnL,General
ProfitLossForPeriod,NetProfit,PnL,General
ProfitOrLossAttributableToOwnersOfParent,NetProfitToOwners,PnL,General
TaxExpense,TaxExpense,PnL,General
BasicEarningsLossPerShareFromContinuingAndDiscontinuedOperations,EPS_Basic,PnL,General
DilutedEarningsLossPerShareFromContinuingAndDiscontinuedOperations,EPS_Diluted,PnL,General
DepreciationDepletionAndAmortisationExpense,Depreciation,PnL,General
EmployeeBenefitExpense,EmployeeExpense,PnL,General
BorrowingsCurrent,DebtCurrent,BS,General
BorrowingsNoncurrent,DebtNonCurrent,BS,General
Equity,TotalEquity,BS,General
EquityAttributableToOwnersOfParent,EquityToOwners,BS,General
Assets,TotalAssets,BS,General
Liabilities,TotalLiabilities,BS,General
CashAndCashEquivalents,Cash,BS,General
Inventories,Inventory,BS,General
TradeReceivablesCurrent,Receivables,BS,General
TradePayablesCurrent,Payables,BS,General
DebtEquityRatio,DebtEquityRatio_Reported,Ratio,General
CashFlowsFromUsedInOperatingActivities,OperatingCashFlow,CF,General
CashFlowsFromUsedInInvestingActivities,InvestingCashFlow,CF,General
CashFlowsFromUsedInFinancingActivities,FinancingCashFlow,CF,General
PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities,CapEx,CF,General
InterestPaidClassifiedAsOperatingActivities,InterestPaidOps,CF,General
DividendsPaidClassifiedAsFinancingActivities,DividendsPaid,CF,General
ProfitLossForThePeriod,NetProfit,PnL,Financial
Capital,BankCapital,BS,Financial
ReservesAndSurplus,BankReserves,BS,Financial
Borrowings,BankBorrowings,BS,Financial
PaidUpValueOfEquityShareCapital,PaidUpCapital,BS,General
FaceValueOfEquityShareCapital,FaceValue,BS,General
